stationCode	stationName	lat	lng
S06086	AREZZO CASELLO 1	43.470718	11.874621
S06063	AREZZO PESCAIOLA	43.461716	11.874176
S05804	ARGENTA	44.616867	11.841267
S09316	ARIANO IRPINO	41.181883	15.117508
S01020	ARONA	45.755392	8.559075
S01092	AROSIO	45.718372	9.210269
S09017	ARPAIA	-9.019376	4.511247
S08859	ARPINO	41.648296	13.59959
S05707	ARQUA'	45.006465	11.748518
S04207	ARQUATA SCRIVIA	44.692533	8.885342
S08516	ARSOLI	42.045852	13.013064
S03021	ARTEGNA	46.23115	13.162328
S01779	ARTOGNE - GIANICO	45.858661	10.15896
S00134	ARVIER	45.704259	7.166681
S02841	ARZERGRANDE	45.274767	12.039716
S11711	ASCEA	40.140955	15.172626
S06813	ASCIANO	43.235245	11.579237
S06825	ASCIANO MONTE OLIVETO MAGGIORE	43.231706	11.563621
S07550	ASCOLI PICENO	42.855474	13.587939
S11203	ASCOLI SATRIANO	41.219859	15.547828
S01847	ASOLA	45.220454	10.402313
S12889	ASSEMINI	39.287603	8.997936
S12809	ASSEMINI CARMINE	39.28179	9.013726
S12808	ASSEMINI S.LUCIA	39.291036	8.989286
S07008	ASSISI	43.058921	12.585304
S01101	ASSO	45.855228	9.268513
S00462	ASTI	44.89479	8.208112
S07998	ATELETA	41.862113	14.239204
S09904	ATENA	40.456676	15.536094
S08207	ATTIGLIANO-BOMARZO	42.518054	12.294761
S12345	AUGUSTA	37.24334	15.218628
S09902	AULETTA	40.534934	15.426706
S06168	AULLA	44.209662	9.970632
S06013	AULLA LUNIGIANA	44.210555	9.970015
S03550	AURISINA	45.753943	13.687706
S09514	AVELLINO	40.921612	14.820586
S09006	AVERSA	40.973323	14.218578
S08526	AVEZZANO	42.039495	13.426446
S03087	AVIANO	46.064362	12.590686
S00214	AVIGLIANA	45.085276	7.401096
S11214	AVIGLIANO LUCANIA	40.714667	15.785619
S02050	AVIO	45.733892	10.955842
S00133	AVISE	45.706296	7.131285
S12426	AVOLA	36.907434	15.125733
S06081	BACIANO	-9.019376	4.511247
S06826	BADESSE	43.382144	11.277136
S02370	BADIA POLESINE	45.094439	11.484722
S11841	BADOLATO	38.572268	16.567646
S05185	BAGGIOVARA	0.0	4.511256
S05186	BAGGIOVARA OSPEDALE	0.0	4.511256
S12008	BAGHERIA	38.089905	13.507215
S05902	BAGNACAVALLO	44.412138	11.969398
S11770	BAGNARA	38.282695	15.800327
S03123	BAGNARIA ARSA	45.885513	13.282026
S00921	BAGNASCO	44.303264	8.046132
S06308	BAGNI DI LUCCA	44.003447	10.551631
S08504	BAGNI DI TIVOLI	41.949593	12.722208
S09102	BAGNOLI AGNANO TERME	40.819444	14.166694
S09613	BAGNOLI IRPINO	40.83917	15.06324
S13196	BAGNOLO DEL SALENTO	0.0	4.511256
S05946	BAGNOLO IN PIANO	0.0	4.511256
S01901	BAGNOLO MELLA	45.428532	10.183617
S05945	BAGNOLO SOAVE	0.0	4.511256
S07224	BAIANO DI SPOLETO	42.726238	12.663615
S00094	BALANGERO	45.265633	7.519423
S07964	BALANZANO	43.068133	12.402049
S00460	BALDICHIERI-TIGLIOLE	44.899204	8.091198
S13144	BALERNA	45.837564	9.0
S12122	BALESTRATE	38.053364	13.007374
S08856	BALSORANO	41.809427	13.556546
S09830	BALVANO RICIGLIANO	40.649993	15.495304
S00178	BALZOLA	45.173985	8.402174
S00732	BANDITO	44.722075	7.819452
S09832	BARAGIANO-RUOTI	40.695213	15.569206
S09458	BARANELLO	41.5176	14.596314
S01741	BARASSO - COMERIO	45.835268	8.751036
S06806	BARBERINO DI VAL D'ELSA	43.499322	11.11111
S01932	BARBIANELLO	45.07263	9.204165
S05905	BARBIANO	44.387263	11.878086
S12971	BARBUSI	39.203024	8.501702
S12041	BARCELLONA-CASTROREALE	38.14918	15.212499
S05929	BARCO	0.0	4.511256
S00202	BARDONECCHIA	45.076447	6.709959
S06303	BARGA GALLICANO	44.068114	10.451938
S13094	BARI CEGLIE-CARBONARA	0.0	4.511256
S11119	BARI CENTRALE	41.11774	16.869601
S11251	BARI LOSETO	41.067513	16.844002
S11118	BARI PALESE MACCHIE	41.151583	16.766902
S11148	BARI PARCO NORD	41.123916	16.837018
S11125	BARI PARCO SUD	41.111822	16.914736
S11513	BARI S.ANDREA	41.105467	16.830255
S11150	BARI S.GIORGIO	41.093779	16.950084
S11250	BARI S.RITA	41.085361	16.846137
S11116	BARI S.SPIRITO	41.159653	16.746324
S13092	BARI SUD EST	0.0	4.511256
S41487	BARI TERMINAL BUS	41.11774	16.869601
S11126	BARI TORRE A MARE	41.082637	16.995772
S11004	BARI TORRE QUETTA	41.097236	16.95526
S11003	BARI VILLAGGIO DEL LAVORATORE	0.0	4.511256
S11120	BARI ZONA INDUSTRIALE	41.128061	16.826528
S05419	BARICETTA	45.060889	11.995348
S11208	BARILE	40.943044	15.670959
S01926	BARLASSINA	45.657941	9.139177
S11108	BARLETTA	41.315227	16.278867
S09520	BARONISSI	40.743779	14.77224
S08204	BASCHI-MONTECCHIO	42.68685	12.203496
S02832	BASILIANO	46.012737	13.109233
S02520	BASSANO DEL GRAPPA	45.766697	11.741525
S08208	BASSANO IN TEVERINA	42.483551	12.333556
S08312	BASSANO ROMANO	42.212444	12.152302
S07007	BASTIA	43.07133	12.547735
S00908	BASTIA MONDOVI`	44.439398	7.891671
S05702	BATTAGLIA TERME	45.291475	11.77838
S09823	BATTIPAGLIA	40.605789	14.98324
S07941	BAUCCA-GARAVELLE	43.414393	12.260832
S12875	BAULADU MILIS	40.020722	8.687123
S01015	BAVENO	45.909105	8.502121
S00807	BAZZANA	44.777094	8.401557
S07436	BAZZANO	42.34009	13.418396
S05975	BAZZANO (FER)	44.505002	11.083525
S00203	BEAULARD	45.046495	6.759713
S07422	BEFFI	42.197341	13.660759
S00901	BEINETTE	44.36782	7.644884
S01864	BELGIOIOSO	45.16456	9.316875
S01017	BELGIRATE	45.843337	8.570821
S09831	BELLA MURO	40.700914	15.542936
S01409	BELLANO TARTAVALLE TERME	46.039448	9.302776
S07902	BELLANTE RIPATTONE	42.705775	13.837978
S05817	BELLARIA	44.150249	12.461168
S11512	BELLAVISTA	40.517077	17.176892
S00985	BELLINZAGO	45.566681	8.627652
S07061	BELLISIO SOLFARE	43.520379	12.823977
S02559	BELLUNO	46.141594	12.209703
S11743	BELMONTE CALABRO	39.164427	16.064515
S11732	BELVEDERE MARITTIMO	39.616549	15.853039
S09311	BENEVENTO	41.141901	14.769998
S09011	BENEVENTO APPIA	41.133118	14.765638
S09530	BENEVENTO ARCO TRAIANO	41.136834	14.777662
S09509	BENEVENTO PORTA RUFINA	41.123564	14.784315
S09012	BENEVENTO RIONE LIBERTA'	-9.019376	4.511247
S06158	BERCETO	44.555912	9.931759
S12859	BERCHIDDA	40.772052	9.181312
S00838	BERGAMASCO	44.819891	8.461447
S01529	BERGAMO	45.690271	9.675082
S01530	BERGAMO OSPEDALE	45.691601	9.667854
S11460	BERNALDA	40.397616	16.682281
S01488	BESANA	45.702824	9.28288
S01145	BESNATE	45.695409	8.761072
S01141	BESOZZO	45.842188	8.662997
S01007	BEURA CARDEZZA	46.068341	8.289627
S04482	BEVERA	43.825303	7.579157
S02391	BEVILACQUA	45.230145	11.398643
S05119	BIAGIONI LAGACCI	44.086359	10.948257
S11855	BIANCO	38.089072	16.153348
S00238	BIANZE'	45.309488	8.115523
S01438	BIANZONE	46.179383	10.112507
S01483	BIASSONO-LESMO PARCO	45.632209	9.298408
S05927	BIBBIANO	0.0	4.511256
S05928	BIBBIANO FOSSA	0.0	4.511256
S05926	BIBBIANO VIA MONTI	0.0	4.511256
S06076	BIBBIENA	-9.019376	4.511247
S06077	BIBBIENA CORSALONE	-9.019376	4.511247
S00522	BIBIANA	44.809941	7.285727
S12338	BICOCCA	37.460617	15.044594
S00970	BIELLA CHIAVAZZA	45.568084	8.066787
S00070	BIELLA S.PAOLO	45.557334	8.067541
S06611	BIFORCO	44.068431	11.602243
S11113	BISCEGLIE	41.235445	16.499484
S00870	BISTAGNO	44.659256	8.372057
S01202	BISUSCHIO-VIGGIU'	45.870658	8.887544
S11501	BITETTO PALO DEL COLLE	41.041481	16.74053
S11252	BITRITTO	41.049666	16.841869
S05930	BIVIO BARCO	0.0	4.511256
S03036	BIVIO CARGNACCO	46.007733	13.247325
S00027	BIVIO CASTELROSSO	45.201871	7.932861
S03313	BIVIO D'AURISINA	45.754253	13.655777
S00029	BIVIO MADONNA DELL`OLMO	44.414078	7.546234
S06056	BIVIO MORTELLINI	43.661224	10.369478
S11751	BIVIO PANTANI	39.346697	16.046631
S09714	BIVIO S.LUCIA (NA)	40.742888	14.682744
S03039	BIVIO SAN POLO	45.81393	13.526626
S00005	BIVIO SESIA	45.338661	8.441797
S11755	BIVIO SETTIMO	39.381416	16.222002
S08667	BIVIO/P.C. SGURGOLA	41.527485	13.547101
S06008	BIVIO/PC ARCOLA	44.074771	10.015803
S01778	BOARIO TERME	45.891924	10.190831
S09763	BOCCIA AL MAURO	40.732794	14.471878
S04709	BOGLIASCO	44.379207	9.066042
S09453	BOIANO	41.487883	14.474551
S02839	BOJON	45.336404	12.08056
S06028	BOLGHERI	43.244664	10.550548
S01071	BOLLATE CENTRO	45.545604	9.12021
S01072	BOLLATE NORD	45.552723	9.112269
S05100	BOLOGNA BORGO PANIGALE	44.515024	11.284728
S05046	BOLOGNA C.LE/AV	44.50626	11.342267
S05043	BOLOGNA CENTRALE	44.50626	11.342267
S05725	BOLOGNA CORTICELLA	44.551985	11.35401
S05020	BOLOGNA FIERE	44.512742	11.368809
S05099	BOLOGNA INTERPORTO	44.490404	11.274884
S05140	BOLOGNA MAZZINI	44.482284	11.376271
S05042	BOLOGNA RAVONE	44.510244	11.320029
S05989	BOLOGNA RIMESSE	0.0	4.511256
S05019	BOLOGNA ROVERI	0.0	4.511256
S05990	BOLOGNA S.RITA	0.0	4.511256
S05130	BOLOGNA S.RUFFILLO	44.462657	11.372967
S05081	BOLOGNA S.VITALE	44.496288	11.373073
